Investor Name,Fund from Fund Master,Industry,Industry Copy,Vertical,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Max Check size,Min check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Frank M. Creer,Zone Ventures,"Commercial Services,Software",Software and Information Services,"Industrials,TMT",Venture Capital,www.zonevc.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",2.50,1.00,"Menlo Park, CA",www.zonevc.com,Less than a Billion,No,25%,20.0,20,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,4,2%,High,5%,Yes
Anthony Marlowe,Iowa City Capital Partners,Software,Software and Information Services,TMT,Family Office,www.iowacitycapitalpartners.com,United States,"Acquisition Financing,Late Stage","Convertible Debt,SAFE,Debt",25.00,0.03,"Iowa City, IA",www.iowacitycapitalpartners.com,$1B to $50B,No,10%,10.0,100,Over 5X and under 10X,Acquisition,Weak,Outside Reliance,Weeks,4,10%,Medium,10%,No
Prasad Ramaswamy,Zephyr Management,"Agriculture,Apparel and Accessories,Commercial Products,Commercial Services,Consumer Non-Durables,IT Services,Other Business Products and Services,Other Financial Services,Restaurants,Hotels and Leisure,Services (Non-Financial),Software",CPG,"Beauty,Life Sciences,Manufacturing,TMT",PE/Buyout,www.zmlp.com,"Africa, Asia, Central America, Middle East, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion","Convertible Debt,SAFE,Debt",20.00,5.00,"New York, NY",www.zmlp.com,$1B to $50B,No,5%,5.0,500,10X and above,"Liquidation,Acquisition",On Demand,Accept Others DD Reports,Months,5,5%,Low,50%,Case by case
Mark P. Gorenberg,Zetta Venture Partners,"Business Products and Services (B2B),Other Information Technology,Software",Financial Institutions and Services,"Artificial Intelligence & Machine Learning,Big Data,SaaS",Venture Capital,www.zettavp.com,"Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",3.00,1.00,"San Francisco, CA",www.zettavp.com,$50B to $100B,No,3%,25.0,5,2X - 5X,Revenue driven returns,On Demand,Via Due Diligence Committee,Days,5,4%,Medium,40%,Yes
Shervin Kordary Pishevar,Shervin Pishevar,Software,Healthcare,TMT,Angel (individual),www.pishevar.com,"408, 650","Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",0.25,0.01,"San Francisco, CA",www.pishevar.com,$1B to $50B,No,50%,3.0,70,Over 5X and under 10X,IPO,Heavily Supportive,Heavily Involved ,Weeks,3,10%,High,30%,No
Schuyler Lance,SustainVC,"Education and Training Services (B2B),Healthcare Services,Software",Construction and Civil Engineering,"3D Printing,AgTech,Big Data,CleanTech,Digital Health,E-Commerce,EdTech,FoodTech,HealthTech,Impact Investing,Internet of Things,LOHAS & Wellness,SaaS,TMT",Impact Investing,www.sustainvc.com,North America,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.25,"Boston, MA",www.sustainvc.com,$1B to $50B,Yes,100%,7.0,30,2X - 5X,Acquisition,Weak,Outside Reliance,Days,2,20%,Low,20%,Case by case
Jeffrey Bede,ORIX Growth Capital,"Communications and Networking,Healthcare Technology Systems,Other Information Technology,Other IT Services,Software,Systems and Information Management",Food and Beverage,"Artificial Intelligence & Machine Learning,Big Data,CloudTech & DevOps,Cybersecurity,Digital Health,E-Commerce,EdTech,FinTech,HealthTech,HR Tech,InsurTech,Internet of Things,Legal Tech,Marketing Tech,Mobile,Mobile Commerce,Mobility Tech,Oncology,Restaurant Technology,Supply Chain Tech,TMT,Virtual Reality",Corporate Venture Capital,,"Canada, Germany, Netherlands, United Kingdom, United States","Acquisition Financing,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Secondary Transaction - Private","Debt,Debt Refinancing,Loan",50.00,5.00,"Dallas, TX",,$1B to $50B,No,20%,10.0,800,10X and above,"Revenue driven returns,Acquisition",Heavily Supportive,Accept Others DD Reports,Weeks,4,3%,High,5%,Yes
Stephen A. Baker,Fort Washington Capital Partners,"Commercial Services,Consumer Products and Services (B2C),Energy,Financial Services,Healthcare,Information Technology",Educational and Training Services,Industrials,Fund of Funds,,"Asia, Europe, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Secondary Transaction - Private","Convertible Debt,SAFE,Debt",20.00,5.00,"Cincinnati, OH",,$100B to $500B,No,3%,5.5,3,Over 5X and under 10X,"Acquisition,IPO",On Demand,Via Due Diligence Committee,Months,5,5%,Medium,20%,Case by case
Oren Zeev,Zeev Ventures,"Consumer Products and Services (B2C),Insurance,Software",Media and Content,"E-Commerce,FinTech,InsurTech,TMT",Venture Capital,www.zeevventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",20.00,1.00,"Palo Alto, CA",www.zeevventures.com,$100B to $500B,No,5%,2.0,25,10X and above,"Liquidation,IPO",Weak,Heavily Involved ,Days,4,10%,High,30%,Case by case
Richard Erdman,Tech Coast Angels,"Services (Non-Financial),Software","Software and Information Services,Electronics and Computer Hardware",TMT,Angel Group,www.techcoastangels.com,United States,"Angel Round,Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.50,"Irvine, CA",www.techcoastangels.com,Less than a Billion,No,10%,1.0,60,Over 5X and under 10X,"Revenue driven returns,Acquisition",On Demand,Heavily Involved ,Days,4,30%,Low,10%,Case by case
