Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical Final,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Maarten Goossens,Anterra Capital,B2B,"Agriculture & Forestry,Energy and Climate,Food and Beverage,Healthcare","AgTech,Climate Tech,Digital Health,HealthTech,Beauty & Wellness",Venture Capital,www.anterracapital.com,"Asia, Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$2.00,"Amsterdam, Netherlands",www.anterracapital.com,$5B to $10B,No,90,2X - 5X,"Acquisition,IPO",Heavily Supportive,Heavily Involved ,Months,,,,,
Jay Reinemann,Propel Venture Partners,"B2B,B2C","Insurance,Software and Information Services,Electronics and Computer Hardware",FinTech,Venture Capital,www.propel.vc,"Brazil, Canada, Germany, Mexico, United Kingdom, United States","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.50,"San Carlos, CA",www.propel.vc,Under $5 Billion,No,500,2X - 5X,"Liquidation,Revenue driven returns",Heavily Supportive,Heavily Involved ,Months,,,,,
Jon W. Bayless,Sevin Rosen Funds,"B2B,B2C","Communications & Networking,Electronics and Computer Hardware,Software and Information Services","Digital Health,HealthTech,MedTech",Venture Capital,www.srfundstest.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$2.00,"Dallas, TX",www.srfundstest.com,$5B to $10B,No,100,2X - 5X,"IPO,Liquidation",Heavily Supportive,Heavily Involved ,Months,,,,,
Lok Lee,Tuesday Capital,B2B,"Communications & Networking,Software and Information Services",Mobile,Venture Capital,www.tuesday.vc,"Europe, United States","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.00,$0.05,"Burlingame, CA",www.tuesday.vc,Over $10 Billion,Yes,600,2X - 5X,"Revenue driven returns,IPO",Weak,Outside Reliance,Months,,,,,
Alan Howard,TeleSoft Partners,B2B,"Communications & Networking,Media and Content,Electronics and Computer Hardware,Software and Information Services",,Venture Capital,www.telesoftvc.com,"Europe, India, Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$1.50,"San Francisco, CA",www.telesoftvc.com,$5B to $10B,No,,2X - 5X,"Liquidation,Revenue driven returns",Weak,Outside Reliance,Weeks,,,,,
Thanasis Delistathis,NAV.VC,B2C,"Fashion,CPG,Software and Information Services","Big Data,Ecommerce???,FinTech",Venture Capital,www.nav.vc,United States,"Pre-SEED,SEED,Series A","Convertible Debt,SAFE,Debt",$0.03,$0.30,"Reston, VA",www.nav.vc,$5B to $10B,No,50,Over 5X and under 10X,"Acquisition,Liquidation",Weak,Outside Reliance,Weeks,,,,,
Ryan M. Feit,SeedInvest,"B2C,B2B","Fashion,CPG,Construction and Civil Engineering,Communications & Networking,Real Estate","Robotics and Drones,Real Estate Technology",Venture Capital,www.seedinvest.com,United States,"Angel,Pre-SEED,Series A,SEED",Crowdfunding,$0.00,$2.00,"New York, NY",www.seedinvest.com,Under $5 Billion,No,100,Over 5X and under 10X,"Acquisition,Liquidation",On Demand,Accept Others DD Reports,Weeks,,,,,
Daniel B. Wolfe,180 Degree Capital (NAS: TURN),B2B,"Electronics and Computer Hardware,Communications & Networking","Digital Health,Life Sciences,HealthTech",Venture Capital,www.180degreecapital.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.20,"Montclair, NJ",www.180degreecapital.com,Over $10 Billion,Yes,40,Over 5X and under 10X,"Acquisition,Liquidation",On Demand,Accept Others DD Reports,Weeks,,,,,
Yun-Fang Juan,Brighter Capital,"B2B,B2C","Electronics and Computer Hardware,Software and Information Services,Fashion,CPG","Artifical Intelligence & Machine Learning,CloudTech & DevOps",Venture Capital,www.brightercapital.com,United States,Pre-SEED,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"Cupertino, CA",www.brightercapital.com,$5B to $10B,Yes,500,Over 5X and under 10X,IPO,On Demand,Accept Others DD Reports,Months,,,,,
Doug Renert,Tandem Capital,B2B,"Electronics and Computer Hardware,Software and Information Services",,Venture Capital,www.tandemcap.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.20,"Menlo Park, CA",www.tandemcap.com,$5B to $10B,No,,Over 5X and under 10X,IPO,Heavily Supportive,Accept Others DD Reports,Months,,,,,
Richard Erdman,Tech Coast Angels,"B2B,B2C","Software and Information Services,Electronics and Computer Hardware","3D Printing,AdTech,AgTech,Autonomous cars,Beauty & Wellness,Cannabis,Climate Tech,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,Ecommerce???,EdTech,FemTech,FinTech,Gaming,HealthTech,HRTech,Industrials,Infrastructure,InsurTech,Internet of Things,LegalTech,Life Sciences,MarketingTech,Mobile,MobilityTech,Nanotechnology,Pet Technology,Real Estate Technology,Restaurant Technology,Robotics and Drones,Space Technology,SportsTech,Supply Chain Tech,Virtual/Augmented Reality,Marketplace,enterprise??",Angel Group,www.techcoastangels.com,United States,"Angel,Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.10,"Irvine, CA",www.techcoastangels.com,Under $5 Billion,No,60,10X and above,"Revenue driven returns,Acquisition",Heavily Supportive,Heavily Involved ,Months,4,30%,Low,10%,Case by case
Carlos Ochoa,AI8 Ventures,"B2B,B2C","Software and Information Services,Electronics and Computer Hardware","AdTech,Artifical Intelligence & Machine Learning,FinTech,Big Data,Cybersecurity,Digital Health,SportsTech",Venture Capital,www.ai8ventures.com,"Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, Guatemala, Haiti, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Sint Maarten, United States, Uruguay, Venezuela","Pre-SEED,Angel","Convertible Debt,SAFE,Debt",$0.03,$0.05,"San Francisco, CA",www.ai8ventures.com,Under $5 Billion,Yes,100,10X and above,Acquisition,Heavily Supportive,Heavily Involved ,Days,,,,,
Elizabeth Orgel,Persephone Venture Partners,"B2B,B2C","Software and Information Services,Electronics and Computer Hardware",,Venture Capital,www.persephoneventurepartners.com,,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,Under $5 Billion,Yes,,10X and above,Acquisition,Weak,Heavily Involved ,Days,,,,,
Patrick Ryan,Leawood Venture Capital,B2B,"Software and Information Services,Electronics and Computer Hardware","Artifical Intelligence & Machine Learning,CloudTech & DevOps,Cybersecurity,Mobile",Venture Capital,www.leawoodvc.com,United States,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.20,"Leawood, KS",www.leawoodvc.com,Under $5 Billion,No,30,2X - 5X,Liquidation,Weak,Outside Reliance,Days,,,,,
Ben Jen,Ben Jen Holdings,B2B,"Software and Information Services,Media and Content,Communications & Networking,Electronics and Computer Hardware",,Venture Capital,www.benjenholdings.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.10,"New York, NY",www.benjenholdings.com,Under $5 Billion,No,,2X - 5X,Liquidation,Weak,Outside Reliance,Weeks,,,,,
Mitchell David Kapor,Mitchell Kapor,B2B,"Software and Information Services,Media and Content,Communications & Networking",,Angel (individual),www.kapor.com,"408, 650, California","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"Oakland, CA",www.kapor.com,$5B to $10B,No,,2X - 5X,Liquidation,On Demand,Outside Reliance,Weeks,,,,,
Sean Casey,Omphalos Venture Partners,"B2B,B2C","Software and Information Services,Healthcare","Artifical Intelligence & Machine Learning,Digital Health,Internet of Things,Manufacturing,Nanotechnology",Venture Capital,www.omphalosventures.net,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.10,"Shakopee, MN",www.omphalosventures.net,$5B to $10B,No,30,2X - 5X,Revenue driven returns,On Demand,Accept Others DD Reports,Weeks,,,,,
Anthony Marlowe,Iowa City Capital Partners,"B2B,B2C",Software and Information Services,,Family Office,www.iowacitycapitalpartners.com,United States,"Series A,Angel","Convertible Debt,SAFE,Debt",$0.00,$2.50,"Iowa City, IA",www.iowacitycapitalpartners.com,$5B to $10B,No,100,Over 5X and under 10X,Acquisition,On Demand,Outside Reliance,Weeks,4,10%,Medium,10%,No
Mark Friday,Cathexis Ventures,B2B,Software and Information Services,,Corporate Venture Capital,www.cathexisventures.com,,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.25,$1.00,"Houston, TX",www.cathexisventures.com,Over $10 Billion,Yes,,Over 5X and under 10X,Acquisition,Heavily Supportive,Heavily Involved ,Months,,,,,
Andres Barreto,Firstrock Capital,"B2B,B2C",Software and Information Services,,Venture Capital,www.firstrock.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.50,"New York, NY",www.firstrock.vc,Under $5 Billion,Yes,,Over 5X and under 10X,Liquidation,Heavily Supportive,Heavily Involved ,Months,,,,,
William Bo S. Peabody,Village Ventures,B2B,Software and Information Services,,Venture Capital,www.villageventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.50,"Williamstown, MA",www.villageventures.com,Under $5 Billion,Yes,5,10X and above,Revenue driven returns,Heavily Supportive,Outside Reliance,Months,3,10%,Low,67%,Case by case
Frank M. Creer,Zone Ventures,B2B,Software and Information Services,"Industrials,Internet of Things,CloudTech & DevOps",Venture Capital,www.zonevc.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.25,"Menlo Park, CA",www.zonevc.com,Under $5 Billion,No,20,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,4,2%,High,5%,Yes
Bradley Zions,Structure Fund,"B2B,B2C","Media and Content,Software and Information Services,Financial Institutions and Services","AdTech,CloudTech & DevOps,Ecommerce???,EdTech,FinTech,Foodtech,HealthTech",Venture Capital,www.structurefund.com,United States,"Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"Beverly Hills, CA",www.structurefund.com,Over $10 Billion,No,100,10X and above,Acquisition,Weak,Accept Others DD Reports,Weeks,,,,,
Chris Redlitz,Transmedia Capital,"B2B,B2C","Media and Content,Software and Information Services","AdTech,Ecommerce???,Mobile",Venture Capital,www.transmediacapital.com,United States,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.03,$0.05,"San Francisco, CA",www.transmediacapital.com,Over $10 Billion,Yes,500,10X and above,Acquisition,Weak,Accept Others DD Reports,Weeks,,,,,
Oren Zeev,Zeev Ventures,B2C,Media and Content,"FinTech,InsurTech",Venture Capital,www.zeevventures.com,United States,"Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.10,$2.00,"Palo Alto, CA",www.zeevventures.com,Over $10 Billion,No,25,10X and above,"Liquidation,IPO",Weak,Heavily Involved ,Weeks,4,10%,High,30%,Case by case
Neeraj Berry,Tet Ventures,"B2B,B2C","Educational and Training Services,Food and Beverage","EdTech,Foodtech",Venture Capital,www.tet.vc,"Americas, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"Berlin, Germany",www.tet.vc,Under $5 Billion,No,400,Over 5X and under 10X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Days,,,,,
Paige Craig,Arena Ventures,"B2B,B2C",Educational and Training Services,"FinTech,Ecommerce???,EdTech,Mobile",Venture Capital,www.arenavc.com,"California, New York","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$5.00,"Los Angeles, CA",www.arenavc.com,Over $10 Billion,Yes,60,Over 5X and under 10X,Revenue driven returns,On Demand,Via Due Diligence Committee,Days,,,,,
Stephen A. Baker,Fort Washington Capital Partners,"B2B,B2C",Educational and Training Services,Industrials,Fund of Funds,,"Asia, Europe, United States","Pre-SEED,Series A","Convertible Debt,SAFE,Debt",$0.50,$2.00,"Cincinnati, OH",,Over $10 Billion,No,3,Over 5X and under 10X,"Acquisition,IPO",On Demand,Via Due Diligence Committee,Days,5,5%,Medium,20%,Case by case
Ross Kimbel,Silicon Road,B2C,"Food and Beverage,CPG","Ecommerce???,Foodtech",Venture Capital,siliconroad.vc/us,"India, United States","Pre-SEED,SEED,Series A","Convertible Debt,SAFE,Debt",$0.01,$0.20,"Atlanta, GA",siliconroad.vc/us,Over $10 Billion,No,30,10X and above,Revenue driven returns,Heavily Supportive,Heavily Involved ,Weeks,,,,,
Jeffrey Bede,ORIX Growth Capital,"B2B,B2C",Food and Beverage,"Artifical Intelligence & Machine Learning,Big Data",Corporate Venture Capital,,"Canada, Germany, Netherlands, United Kingdom, United States","Pre-SEED,Angel","Debt,Debt Refinancing,Loan",$0.50,$5.00,"Dallas, TX",,$5B to $10B,No,800,10X and above,"Revenue driven returns,Acquisition",Heavily Supportive,Accept Others DD Reports,Weeks,4,3%,High,5%,Yes
Sophie Endl,Active Impact Investments,"B2B,B2C","Construction and Civil Engineering,Energy and Climate",Climate Tech,Venture Capital,www.activeimpactinvestments.com,"Canada, United States",Pre-SEED,"Convertible Debt,SAFE,Debt",$0.05,$0.13,"Vancouver, Canada",www.activeimpactinvestments.com,Over $10 Billion,Yes,400,2X - 5X,"IPO,Acquisition",Heavily Supportive,Outside Reliance,Weeks,,,,,
Amit Sanghvi,Northzone Ventures,B2B,"Construction and Civil Engineering,Electronics and Computer Hardware","Artifical Intelligence & Machine Learning,Ecommerce???,EdTech,FinTech,Foodtech,Gaming,Infrastructure",Venture Capital,www.northzone.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.12,$2.94,"London, United Kingdom",www.northzone.com,Over $10 Billion,No,800,2X - 5X,IPO,Weak,Outside Reliance,Days,,,,,
Schuyler Lance,SustainVC,B2B,Construction and Civil Engineering,"3D Printing,AgTech,Big Data",Impact Investing,www.sustainvc.com,North America,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.50,"Boston, MA",www.sustainvc.com,$5B to $10B,Yes,30,2X - 5X,Acquisition,Weak,Outside Reliance,Days,2,20%,Low,20%,Case by case
Alejandro Guerrero,Act One Ventures,B2B,"Financial Institutions and Services,Software and Information Services","Digital Health,FinTech,HealthTech,Life Sciences,Mobile",Venture Capital,www.actoneventures.com,"Bay Area, New York, Southern California","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.07,"Los Angeles, CA",www.actoneventures.com,$5B to $10B,No,20,Over 5X and under 10X,"Liquidation,Revenue driven returns",Weak,Accept Others DD Reports,Days,,,,,
Vinod Jose,Konglo Ventures,B2B,"Financial Institutions and Services,Construction and Civil Engineering","Artifical Intelligence & Machine Learning,FinTech,Big Data,Construction Technology,EdTech",Venture Capital,kongloventures.com,"Europe, India, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"Cochin, India",kongloventures.com,Under $5 Billion,Yes,500,Over 5X and under 10X,"Revenue driven returns,Acquisition",On Demand,Accept Others DD Reports,Weeks,,,,,
Tyler Steinke,Runway Innovation Hub,B2B,"Financial Institutions and Services,Healthcare,Energy and Climate,Software and Information Services","3D Printing,AdTech,AgTech,Virtual/Augmented Reality,Autonomous cars",Accelerator/Incubator,www.runway.is,"Brazil, East Asia, Europe, Saudi Arabia, Southeast Asia, United States","Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.01,$1.00,"San Francisco, CA",www.runway.is,$5B to $10B,Yes,50,Over 5X and under 10X,"Acquisition,IPO",On Demand,Accept Others DD Reports,Weeks,,,,,
Marissa Campise,Rucker Park Capital,B2B,"Financial Institutions and Services,Healthcare,Transportation","FinTech,Beauty & Wellness",Venture Capital,www.rpvc.com,North America,"Pre-SEED,SEED,Series A","Convertible Debt,SAFE,Debt",$0.05,$0.20,"New York, NY",www.rpvc.com,$5B to $10B,No,10,Over 5X and under 10X,"Acquisition,IPO",On Demand,Via Due Diligence Committee,Weeks,,,,,
Robert Murray,Terranet Ventures,B2B,Financial Institutions and Services,"3D Printing,Artifical Intelligence & Machine Learning,Virtual/Augmented Reality,Autonomous cars,Ecommerce???,Cryptocurrency/Blockchain",Venture Capital,terranetventures.com,"Africa, Americas, Asia, Canada, Europe, Middle East, United States","Angel,Pre-SEED,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.05,"Philadelphia, PA",terranetventures.com,Under $5 Billion,No,50,Over 5X and under 10X,"Acquisition,IPO",Heavily Supportive,Via Due Diligence Committee,Days,,,,,
