Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Richard Erdman,Tech Coast Angels,"B2B,B2C","Software and Information Services,Electronics and Computer Hardware","3D Printing,AdTech,AgTech,Autonomous cars,Beauty & Wellness,Cannabis,Climate Tech,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,Ecommerce???,EdTech,FemTech,FinTech,Gaming,HealthTech,HRTech,Industrials,Infrastructure,InsurTech,Internet of Things,LegalTech,Life Sciences,MarketingTech,Mobile,MobilityTech,Nanotechnology,Pet Technology,Real Estate Technology,Restaurant Technology,Robotics and Drones,Space Technology,SportsTech,Supply Chain Tech,Virtual/Augmented Reality,Marketplace,enterprise??",Angel Group,www.techcoastangels.com,United States,"Angel Round,Early Stage,Late Stage,Seed","SEED,Pre-SEED,Series A,Series B,Series D,Non-Profit Fundraising,Bridge Round,Angel ,Friends and Family","Convertible Debt,SAFE,Debt",$0.05,$0.10,"Irvine, CA",www.techcoastangels.com,Under $5 Billion,No,10%,1.0,60,Over 5X and under 10X,"Revenue driven returns,Acquisition",On Demand,Heavily Involved ,Days,4,30%,Low,10%,Case by case
Frank M. Creer,Zone Ventures,B2B,Software and Information Services,"Industrials,Internet of Things,CloudTech & DevOps",Venture Capital,www.zonevc.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.25,"Menlo Park, CA",www.zonevc.com,Under $5 Billion,No,25%,20.0,20,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,4,2%,High,5%,Yes
Anthony Marlowe,Iowa City Capital Partners,"B2B,B2C",Software and Information Services,,Family Office,www.iowacitycapitalpartners.com,United States,"Acquisition Financing,Late Stage",,"Convertible Debt,SAFE,Debt",$0.00,$2.50,"Iowa City, IA",www.iowacitycapitalpartners.com,$5B to $10B,No,10%,10.0,100,Over 5X and under 10X,Acquisition,Weak,Outside Reliance,Weeks,4,10%,Medium,10%,No
Oren Zeev,Zeev Ventures,B2C,Media and Content,"FinTech,InsurTech",Venture Capital,www.zeevventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$2.00,"Palo Alto, CA",www.zeevventures.com,Over $10 Billion,No,5%,2.0,25,10X and above,"Liquidation,IPO",Weak,Heavily Involved ,Days,4,10%,High,30%,Case by case
Stephen A. Baker,Fort Washington Capital Partners,"B2B,B2C",Educational and Training Services,Industrials,Fund of Funds,,"Asia, Europe, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Secondary Transaction - Private",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,"Cincinnati, OH",,Over $10 Billion,No,3%,5.5,3,Over 5X and under 10X,"Acquisition,IPO",On Demand,Via Due Diligence Committee,Months,5,5%,Medium,20%,Case by case
Jeffrey Bede,ORIX Growth Capital,"B2B,B2C",Food and Beverage,"Artifical Intelligence & Machine Learning,Big Data",Corporate Venture Capital,,"Canada, Germany, Netherlands, United Kingdom, United States","Acquisition Financing,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Secondary Transaction - Private",,"Debt,Debt Refinancing,Loan",$0.50,$5.00,"Dallas, TX",,$5B to $10B,No,20%,10.0,800,10X and above,"Revenue driven returns,Acquisition",Heavily Supportive,Accept Others DD Reports,Weeks,4,3%,High,5%,Yes
Schuyler Lance,SustainVC,B2B,Construction and Civil Engineering,"3D Printing,AgTech,Big Data",Impact Investing,www.sustainvc.com,North America,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.50,"Boston, MA",www.sustainvc.com,$5B to $10B,Yes,100%,7.0,30,2X - 5X,Acquisition,Weak,Outside Reliance,Days,2,20%,Low,20%,Case by case
Mark P. Gorenberg,Zetta Venture Partners,B2B,Financial Institutions and Services,"Artifical Intelligence & Machine Learning,Big Data",Venture Capital,www.zettavp.com,"Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.30,"San Francisco, CA",www.zettavp.com,Over $10 Billion,No,3%,25.0,5,2X - 5X,Revenue driven returns,On Demand,Via Due Diligence Committee,Days,5,4%,Medium,40%,Yes
Carter Weiss,Silas Capital,"B2B,B2C","CPG,Fashion,Software and Information Services,Food and Beverage,Travel & Leisure,Electronics and Computer Hardware","Cannabis,Beauty & Wellness,Ecommerce???,Cybersecurity,Manufacturing,SportsTech",Growth/Expansion,www.silascapital.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.50,"New York, NY",www.silascapital.com,,,,,,,,,,,,,,,
Prasad Ramaswamy,Zephyr Management,"B2B,B2C","CPG,Machinery & industrial goods,Agriculture & Forestry","Beauty & Wellness,Life Sciences,Manufacturing",PE/Buyout,www.zmlp.com,"Africa, Asia, Central America, Middle East, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,"New York, NY",www.zmlp.com,$5B to $10B,No,5%,5.0,500,10X and above,"Liquidation,Acquisition",On Demand,Accept Others DD Reports,Months,5,5%,Low,50%,Case by case
